family,front_type,budget,view,quantile,parameter,category,observed_share,elite_share,elite_over_representation
RE3D,extremePointsFronts,1000,joint,0.1,crossoverRepairStrategy,random,0.2127659574468085,0.0,-0.2127659574468085
RE3D,extremePointsFronts,1000,joint,0.1,crossoverRepairStrategy,round,0.14893617021276595,0.034482758620689655,-0.1144534115920763
RE3D,extremePointsFronts,1000,joint,0.2,crossoverRepairStrategy,bounds,0.6382978723404256,0.8771929824561403,0.23889511011571474
RE3D,extremePointsFronts,1000,joint,0.2,crossoverRepairStrategy,random,0.2127659574468085,0.03508771929824561,-0.1776782381485629
RE3D,extremePointsFronts,1000,joint,0.2,crossoverRepairStrategy,round,0.14893617021276595,0.08771929824561403,-0.06121687196715192
RE3D,extremePointsFronts,1000,EP,0.05,mutation,levyFlight,0.5460992907801419,0.6,0.05390070921985812
RE3D,extremePointsFronts,1000,EP,0.05,mutation,linkedPolynomial,0.11347517730496454,0.06666666666666667,-0.04680851063829787
RE3D,extremePointsFronts,1000,EP,0.05,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,EP,0.05,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,EP,0.05,mutation,powerLaw,0.24468085106382978,0.26666666666666666,0.021985815602836883
RE3D,extremePointsFronts,1000,EP,0.05,mutation,uniform,0.05673758865248227,0.06666666666666667,0.009929078014184398
RE3D,extremePointsFronts,1000,EP,0.1,mutation,levyFlight,0.5460992907801419,0.6551724137931034,0.10907312301296157
RE3D,extremePointsFronts,1000,EP,0.1,mutation,linkedPolynomial,0.11347517730496454,0.06896551724137931,-0.04450966006358523
RE3D,extremePointsFronts,1000,EP,0.1,mutation,nonUniform,0.0035460992907801418,0.0,-0.0035460992907801418
RE3D,extremePointsFronts,1000,EP,0.1,mutation,polynomial,0.03546099290780142,0.0,-0.03546099290780142
RE3D,extremePointsFronts,1000,EP,0.1,mutation,powerLaw,0.24468085106382978,0.2413793103448276,-0.003301540719002183
RE3D,extremePointsFronts,1000,EP,0.1,mutation,uniform,0.05673758865248227,0.034482758620689655,-0.022254830031792613
RE3D,extremePointsFronts,1000,EP,0.2,mutation,levyFlight,0.5460992907801419,0.5964912280701754,0.05039193729003355
RE3D,extremePointsFronts,1000,EP,0.2,mutation,linkedPolynomial,0.11347517730496454,0.10526315789473684,-0.0082120194102277
