family,front_type,budget,view,quantile,parameter,parameter_kind,observed_n,elite_n,observed_unique,elite_unique,dominant_category,dominant_share
RE3D,extremePointsFronts,1000,joint,0.2,variation,categorical,282,57,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,1000,EP,0.05,algorithmResult,categorical,204,11,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,1000,EP,0.1,algorithmResult,categorical,204,21,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,1000,EP,0.2,algorithmResult,categorical,204,41,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,1000,HV,0.05,algorithmResult,categorical,204,11,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,1000,HV,0.1,algorithmResult,categorical,204,21,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,1000,HV,0.2,algorithmResult,categorical,204,41,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,1000,joint,0.05,algorithmResult,categorical,204,11,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,1000,joint,0.1,algorithmResult,categorical,204,21,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,1000,joint,0.2,algorithmResult,categorical,204,41,1,1,externalArchive,1.0
RWA3D,extremePointsFronts,1000,EP,0.05,archiveType,categorical,204,11,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,1000,EP,0.1,archiveType,categorical,204,21,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,1000,EP,0.2,archiveType,categorical,204,41,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,1000,HV,0.05,archiveType,categorical,204,11,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,1000,HV,0.1,archiveType,categorical,204,21,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,1000,HV,0.2,archiveType,categorical,204,41,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,1000,joint,0.05,archiveType,categorical,204,11,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,1000,joint,0.1,archiveType,categorical,204,21,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,1000,joint,0.2,archiveType,categorical,204,41,1,1,unboundedArchive,1.0
RWA3D,extremePointsFronts,1000,EP,0.05,createInitialSolutions,categorical,204,11,6,4,cauchy,0.45454545454545453
RWA3D,extremePointsFronts,1000,EP,0.1,createInitialSolutions,categorical,204,21,6,6,cauchy,0.47619047619047616
RWA3D,extremePointsFronts,1000,EP,0.2,createInitialSolutions,categorical,204,41,6,6,cauchy,0.5365853658536586
RWA3D,extremePointsFronts,1000,HV,0.05,createInitialSolutions,categorical,204,11,6,2,cauchy,0.9090909090909091
RWA3D,extremePointsFronts,1000,HV,0.1,createInitialSolutions,categorical,204,21,6,2,cauchy,0.9523809523809523
RWA3D,extremePointsFronts,1000,HV,0.2,createInitialSolutions,categorical,204,41,6,4,cauchy,0.8780487804878049
RWA3D,extremePointsFronts,1000,joint,0.05,createInitialSolutions,categorical,204,11,6,2,cauchy,0.9090909090909091
RWA3D,extremePointsFronts,1000,joint,0.1,createInitialSolutions,categorical,204,21,6,3,cauchy,0.8571428571428571
RWA3D,extremePointsFronts,1000,joint,0.2,createInitialSolutions,categorical,204,41,6,5,cauchy,0.8048780487804879
RWA3D,extremePointsFronts,1000,EP,0.05,crossover,categorical,204,11,2,2,BLX-alpha-beta,0.5454545454545454
RWA3D,extremePointsFronts,1000,EP,0.1,crossover,categorical,204,21,2,2,BLX-alpha-beta,0.5714285714285714
RWA3D,extremePointsFronts,1000,EP,0.2,crossover,categorical,204,41,2,2,BLX-alpha-beta,0.5121951219512195
RWA3D,extremePointsFronts,1000,HV,0.05,crossover,categorical,204,11,2,2,BLX-alpha-beta,0.5454545454545454
RWA3D,extremePointsFronts,1000,HV,0.1,crossover,categorical,204,21,2,2,BLX-alpha-beta,0.5714285714285714
RWA3D,extremePointsFronts,1000,HV,0.2,crossover,categorical,204,41,2,2,BLX-alpha-beta,0.6585365853658537
RWA3D,extremePointsFronts,1000,joint,0.05,crossover,categorical,204,11,2,2,BLX-alpha-beta,0.5454545454545454
RWA3D,extremePointsFronts,1000,joint,0.1,crossover,categorical,204,21,2,2,BLX-alpha-beta,0.5238095238095238
RWA3D,extremePointsFronts,1000,joint,0.2,crossover,categorical,204,41,2,2,BLX-alpha-beta,0.5121951219512195
RWA3D,extremePointsFronts,1000,EP,0.05,crossoverRepairStrategy,categorical,204,11,3,3,bounds,0.5454545454545454
RWA3D,extremePointsFronts,1000,EP,0.1,crossoverRepairStrategy,categorical,204,21,3,3,bounds,0.5714285714285714
RWA3D,extremePointsFronts,1000,EP,0.2,crossoverRepairStrategy,categorical,204,41,3,3,bounds,0.7073170731707317
RWA3D,extremePointsFronts,1000,HV,0.05,crossoverRepairStrategy,categorical,204,11,3,3,bounds,0.8181818181818182
RWA3D,extremePointsFronts,1000,HV,0.1,crossoverRepairStrategy,categorical,204,21,3,3,bounds,0.6666666666666666
