family,front_type,budget,run,parameter,parameter_kind,stabilization_eval,stabilization_pct_meta_budget
RE3D,extremePointsFronts,3000,17,crossoverProbability,numerical,3000,100.0
RE3D,extremePointsFronts,3000,18,crossoverProbability,numerical,3000,100.0
RE3D,extremePointsFronts,3000,19,crossoverProbability,numerical,300,10.0
RE3D,extremePointsFronts,3000,20,crossoverProbability,numerical,3000,100.0
RE3D,extremePointsFronts,3000,21,crossoverProbability,numerical,2300,76.7
RE3D,extremePointsFronts,3000,22,crossoverProbability,numerical,800,26.7
RE3D,extremePointsFronts,3000,23,crossoverProbability,numerical,3000,100.0
RE3D,extremePointsFronts,3000,24,crossoverProbability,numerical,300,10.0
RE3D,extremePointsFronts,3000,25,crossoverProbability,numerical,3000,100.0
RE3D,extremePointsFronts,3000,26,crossoverProbability,numerical,3000,100.0
RE3D,extremePointsFronts,3000,27,crossoverProbability,numerical,3000,100.0
RE3D,extremePointsFronts,3000,28,crossoverProbability,numerical,1500,50.0
RE3D,extremePointsFronts,3000,29,crossoverProbability,numerical,3000,100.0
RE3D,extremePointsFronts,3000,30,crossoverProbability,numerical,3000,100.0
RE3D,extremePointsFronts,3000,1,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,2,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,3,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,4,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,5,crossoverRepairStrategy,categorical,800,26.7
RE3D,extremePointsFronts,3000,6,crossoverRepairStrategy,categorical,1500,50.0
RE3D,extremePointsFronts,3000,7,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,8,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,9,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,10,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,11,crossoverRepairStrategy,categorical,1500,50.0
RE3D,extremePointsFronts,3000,12,crossoverRepairStrategy,categorical,800,26.7
RE3D,extremePointsFronts,3000,13,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,14,crossoverRepairStrategy,categorical,1500,50.0
RE3D,extremePointsFronts,3000,15,crossoverRepairStrategy,categorical,800,26.7
RE3D,extremePointsFronts,3000,16,crossoverRepairStrategy,categorical,3000,100.0
RE3D,extremePointsFronts,3000,17,crossoverRepairStrategy,categorical,3000,100.0
RE3D,extremePointsFronts,3000,18,crossoverRepairStrategy,categorical,2300,76.7
RE3D,extremePointsFronts,3000,19,crossoverRepairStrategy,categorical,1500,50.0
RE3D,extremePointsFronts,3000,20,crossoverRepairStrategy,categorical,2300,76.7
RE3D,extremePointsFronts,3000,21,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,22,crossoverRepairStrategy,categorical,1500,50.0
RE3D,extremePointsFronts,3000,23,crossoverRepairStrategy,categorical,2300,76.7
RE3D,extremePointsFronts,3000,24,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,25,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,26,crossoverRepairStrategy,categorical,800,26.7
RE3D,extremePointsFronts,3000,27,crossoverRepairStrategy,categorical,300,10.0
RE3D,extremePointsFronts,3000,28,crossoverRepairStrategy,categorical,800,26.7
RE3D,extremePointsFronts,3000,29,crossoverRepairStrategy,categorical,1500,50.0
RE3D,extremePointsFronts,3000,30,crossoverRepairStrategy,categorical,2300,76.7
RE3D,extremePointsFronts,3000,1,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,2,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,3,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,4,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,5,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,6,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,7,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,8,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
RE3D,extremePointsFronts,3000,9,fuzzyRecombinationCrossoverAlpha,numerical,300,10.0
