Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII-Std,RE91,EP,15,0.30307679202469884
NSGAII-Std,RE91,EP,16,0.334323240175373
NSGAII-Std,RE91,EP,17,0.3340063741924946
NSGAII-Std,RE91,EP,18,0.32657236691487845
NSGAII-Std,RE91,EP,19,0.3264516346798508
NSGAII-Std,RE91,EP,20,0.3019699688804609
NSGAII-Std,RE91,EP,21,0.3441986786328747
NSGAII-Std,RE91,EP,22,0.3347270722904725
NSGAII-Std,RE91,EP,23,0.32845760549578723
NSGAII-Std,RE91,EP,24,0.3895340083938703
NSGAII-Std,RE91,EP,25,0.30848244997030067
NSGAII-Std,RE91,EP,26,0.31304627309131144
NSGAII-Std,RE91,EP,27,0.3216941085751939
NSGAII-Std,RE91,EP,28,0.3400225603713329
NSGAII-Std,RE91,EP,29,0.33454772504522323
NSGAII-Std,RWA1,EP,0,0.010811873015756174
NSGAII-Std,RWA1,EP,1,0.009786682738007313
NSGAII-Std,RWA1,EP,2,0.01202743167106704
NSGAII-Std,RWA1,EP,3,0.008242686261835275
NSGAII-Std,RWA1,EP,4,0.011549053265886788
NSGAII-Std,RWA1,EP,5,0.00886942646789024
NSGAII-Std,RWA1,EP,6,0.009864778677510844
NSGAII-Std,RWA1,EP,7,0.007425741459601509
NSGAII-Std,RWA1,EP,8,0.010983506216650174
NSGAII-Std,RWA1,EP,9,0.009012309006573987
NSGAII-Std,RWA1,EP,10,0.006603364582368945
NSGAII-Std,RWA1,EP,11,0.007342469826687764
NSGAII-Std,RWA1,EP,12,0.00793329910315907
NSGAII-Std,RWA1,EP,13,0.008406609390411005
NSGAII-Std,RWA1,EP,14,0.008124068553445836
NSGAII-Std,RWA1,EP,15,0.009076216175340712
NSGAII-Std,RWA1,EP,16,0.007098627812546096
NSGAII-Std,RWA1,EP,17,0.007864928319337827
NSGAII-Std,RWA1,EP,18,0.00929661198630638
NSGAII-Std,RWA1,EP,19,0.008132744504513845
NSGAII-Std,RWA1,EP,20,0.0075219785052638155
NSGAII-Std,RWA1,EP,21,0.008531895418038116
NSGAII-Std,RWA1,EP,22,0.010044608316307407
NSGAII-Std,RWA1,EP,23,0.008195371397539147
NSGAII-Std,RWA1,EP,24,0.01558484868783444
NSGAII-Std,RWA1,EP,25,0.009196959030086077
