Benchmark,Frente,Budget,Parametro,Accion,supported_views,recommended_value,recommended_min,recommended_max
RWA3D,Real,3000,offspringPopulationSize,Mantener,,,,
RWA3D,Real,3000,pcxCrossoverEta,Mantener,,,,
RWA3D,Real,3000,pcxCrossoverZeta,Mantener,,,,
RWA3D,Real,3000,polynomialMutationDistributionIndex,Mantener,,,,
RWA3D,Real,3000,populationSizeWithArchive,Mantener,,,,
RWA3D,Real,3000,powerLawMutationDelta,Mantener,,,,
RWA3D,Real,3000,sbxDistributionIndex,Mantener,,,,
RWA3D,Real,3000,selection,Mantener,,,,
RWA3D,Real,3000,selectionTournamentSize,Mantener,,,,
RWA3D,Real,3000,undcCrossoverEta,Mantener,,,,
RWA3D,Real,3000,undcCrossoverZeta,Mantener,,,,
RWA3D,Real,3000,uniformMutationPerturbation,Mantener,,,,
RWA3D,Real,3000,blxAlphaCrossoverAlpha,Acotar,HV|joint,,0.7516628420529688,0.9937673671647002
RWA3D,Real,3000,mutationProbabilityFactor,Acotar,HV|joint,,1.5050971625578191,1.9568766236464656
RE3D,Puntos extremos,5000,algorithmResult,Fijar,EP|HV|joint,externalArchive,,
RE3D,Puntos extremos,5000,archiveType,Fijar,EP|HV|joint,unboundedArchive,,
RE3D,Puntos extremos,5000,crossover,Fijar,EP|HV|joint,laplace,,
RE3D,Puntos extremos,5000,crossoverRepairStrategy,Fijar,EP|HV|joint,bounds,,
RE3D,Puntos extremos,5000,mutation,Fijar,EP|HV|joint,levyFlight,,
RE3D,Puntos extremos,5000,mutationRepairStrategy,Fijar,EP|HV|joint,bounds,,
RE3D,Puntos extremos,5000,variation,Fijar,EP|HV|joint,crossoverAndMutationVariation,,
RE3D,Puntos extremos,5000,blxAlphaBetaCrossoverAlpha,Mantener,,,,
RE3D,Puntos extremos,5000,blxAlphaBetaCrossoverBeta,Mantener,,,,
RE3D,Puntos extremos,5000,blxAlphaCrossoverAlpha,Mantener,,,,
RE3D,Puntos extremos,5000,boltzmannTemperature,Mantener,,,,
RE3D,Puntos extremos,5000,createInitialSolutions,Mantener,,,,
RE3D,Puntos extremos,5000,crossoverProbability,Mantener,,,,
RE3D,Puntos extremos,5000,fuzzyRecombinationCrossoverAlpha,Mantener,,,,
RE3D,Puntos extremos,5000,levyFlightMutationBeta,Mantener,,,,
RE3D,Puntos extremos,5000,levyFlightMutationStepSize,Mantener,,,,
RE3D,Puntos extremos,5000,linkedPolynomialMutationDistributionIndex,Mantener,,,,
RE3D,Puntos extremos,5000,nonUniformMutationPerturbation,Mantener,,,,
RE3D,Puntos extremos,5000,offspringPopulationSize,Mantener,,,,
RE3D,Puntos extremos,5000,pcxCrossoverEta,Mantener,,,,
RE3D,Puntos extremos,5000,pcxCrossoverZeta,Mantener,,,,
RE3D,Puntos extremos,5000,polynomialMutationDistributionIndex,Mantener,,,,
RE3D,Puntos extremos,5000,populationSizeWithArchive,Mantener,,,,
RE3D,Puntos extremos,5000,powerLawMutationDelta,Mantener,,,,
RE3D,Puntos extremos,5000,sbxDistributionIndex,Mantener,,,,
RE3D,Puntos extremos,5000,selection,Mantener,,,,
RE3D,Puntos extremos,5000,selectionTournamentSize,Mantener,,,,
RE3D,Puntos extremos,5000,undcCrossoverEta,Mantener,,,,
RE3D,Puntos extremos,5000,undcCrossoverZeta,Mantener,,,,
RE3D,Puntos extremos,5000,uniformMutationPerturbation,Mantener,,,,
RE3D,Puntos extremos,5000,laplaceCrossoverScale,Acotar,HV|joint,,0.4297200581061715,0.4995994380877741
RE3D,Puntos extremos,5000,mutationProbabilityFactor,Acotar,EP|HV,,0.5982697300446256,1.046443986733652
RWA3D,Puntos extremos,5000,algorithmResult,Fijar,EP|HV|joint,externalArchive,,
RWA3D,Puntos extremos,5000,archiveType,Fijar,EP|HV|joint,unboundedArchive,,
RWA3D,Puntos extremos,5000,mutation,Fijar,EP|HV|joint,powerLaw,,
