family,front_type,budget,parameter,parameter_kind,stabilization_eval_median,stabilization_eval_min,stabilization_eval_max,stabilization_pct_median,stable_by_50_pct,stable_by_75_pct,stable_by_100_pct
RWA3D,referenceFronts,1000,variation,categorical,300.0,300,300,10.0,1.0,1.0,1.0
RWA3D,referenceFronts,1000,boltzmannTemperature,numerical,550.0,300,3000,18.35,0.7,0.7,1.0
RWA3D,referenceFronts,1000,crossover,categorical,800.0,300,3000,26.7,0.9333333333333333,0.9333333333333333,1.0
RWA3D,referenceFronts,1000,crossoverRepairStrategy,categorical,800.0,300,3000,26.7,0.7,0.7,1.0
RWA3D,referenceFronts,1000,selectionTournamentSize,numerical,800.0,300,3000,26.7,0.8333333333333334,0.8333333333333334,1.0
RWA3D,referenceFronts,1000,blxAlphaBetaCrossoverAlpha,numerical,1500.0,300,3000,50.0,0.6,0.6,1.0
RWA3D,referenceFronts,1000,createInitialSolutions,categorical,1500.0,300,3000,50.0,0.6666666666666666,0.6666666666666666,1.0
RWA3D,referenceFronts,1000,levyFlightMutationBeta,numerical,1500.0,300,3000,50.0,0.6333333333333333,0.6333333333333333,1.0
RWA3D,referenceFronts,1000,levyFlightMutationStepSize,numerical,1500.0,300,3000,50.0,0.6333333333333333,0.6333333333333333,1.0
RWA3D,referenceFronts,1000,mutationProbabilityFactor,numerical,1500.0,300,3000,50.0,0.5333333333333333,0.5333333333333333,1.0
RWA3D,referenceFronts,1000,offspringPopulationSize,categorical,1500.0,300,3000,50.0,0.6,0.6,1.0
RWA3D,referenceFronts,1000,populationSizeWithArchive,numerical,1500.0,300,3000,50.0,0.5666666666666667,0.5666666666666667,1.0
RWA3D,referenceFronts,1000,powerLawMutationDelta,numerical,1500.0,300,3000,50.0,0.6666666666666666,0.6666666666666666,1.0
RWA3D,referenceFronts,1000,selection,categorical,1500.0,300,3000,50.0,0.7333333333333333,0.7333333333333333,1.0
RWA3D,referenceFronts,1000,blxAlphaBetaCrossoverBeta,numerical,2300.0,300,3000,76.7,0.4,0.4,1.0
RWA3D,referenceFronts,1000,crossoverProbability,numerical,2300.0,300,3000,76.7,0.4666666666666667,0.4666666666666667,1.0
