# Evaluation: 0

EP=0.15106692261958193 HVMinus=-0.8504019135617132 | --algorithmResult externalArchive --populationSizeWithArchive 109 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.5978226694541462 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8358544087856989 --mutation levyFlight --mutationProbabilityFactor 1.5623122817784334 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.267048591967659 --levyFlightMutationStepSize 0.4202517505552509 --selection ranking 
EP=0.1521198372987708 HVMinus=-0.8510598928546217 | --algorithmResult externalArchive --populationSizeWithArchive 14 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6162719888708814 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.9328567641380532 --blxAlphaBetaCrossoverAlpha 0.885118582976623 --mutation levyFlight --mutationProbabilityFactor 0.895759708961668 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2630005220192342 --levyFlightMutationStepSize 0.4202394344199898 --selection ranking 

# Evaluation: 700
EP=0.15116386703919465 HVMinus=-0.8509114857161597 | --algorithmResult externalArchive --populationSizeWithArchive 88 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6066642628227196 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8585190170396708 --mutation powerLaw --mutationProbabilityFactor 0.8848472580392241 --mutationRepairStrategy bounds --powerLawMutationDelta 2.3939916342599354 --selection ranking 
EP=0.15149099773291505 HVMinus=-0.8510205822992726 | --algorithmResult externalArchive --populationSizeWithArchive 109 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8323702581277281 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.414666203505205 --blxAlphaBetaCrossoverAlpha 0.880762911765147 --mutation levyFlight --mutationProbabilityFactor 0.8834678654248395 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2630005220192342 --levyFlightMutationStepSize 0.4202394344199898 --selection boltzmann --boltzmannTemperature 68.31875061124265 
EP=0.15055490313536718 HVMinus=-0.8504983141569694 | --algorithmResult externalArchive --populationSizeWithArchive 56 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.42198633299231875 --crossoverRepairStrategy round --pcxCrossoverZeta 0.6116442555102622 --pcxCrossoverEta 0.959844349968763 --mutation powerLaw --mutationProbabilityFactor 0.9297975196072275 --mutationRepairStrategy round --powerLawMutationDelta 7.756873242731054 --selection stochasticUniversalSampling 
EP=0.1509387869385152 HVMinus=-0.8506933616297193 | --algorithmResult externalArchive --populationSizeWithArchive 59 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6197736968418179 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8585190170396708 --mutation powerLaw --mutationProbabilityFactor 0.8848472580392241 --mutationRepairStrategy bounds --powerLawMutationDelta 6.690360647204347 --selection ranking 
EP=0.15146246406807215 HVMinus=-0.8510033791669064 | --algorithmResult externalArchive --populationSizeWithArchive 50 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9927677847625079 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.9367917353921258 --blxAlphaBetaCrossoverAlpha 0.41753055294404506 --mutation levyFlight --mutationProbabilityFactor 0.6383965630618667 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.275104933586896 --levyFlightMutationStepSize 0.6203826071001949 --selection tournament --selectionTournamentSize 6 
EP=0.15167389605747733 HVMinus=-0.8511213014395894 | --algorithmResult externalArchive --populationSizeWithArchive 109 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6171972128638925 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.9375239343979866 --blxAlphaBetaCrossoverAlpha 0.8932452963320202 --mutation levyFlight --mutationProbabilityFactor 0.8830883217075076 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2623418264156459 --levyFlightMutationStepSize 0.4202394344199898 --selection ranking 
EP=0.15231892065928404 HVMinus=-0.8511416383350495 | --algorithmResult externalArchive --populationSizeWithArchive 57 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.9946312192297029 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.658042364699125 --mutation levyFlight --mutationProbabilityFactor 0.5915021038470157 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.9298669140789833 --levyFlightMutationStepSize 0.6117389547477009 --selection tournament --selectionTournamentSize 2 
EP=0.1510313429520429 HVMinus=-0.850821745742737 | --algorithmResult externalArchive --populationSizeWithArchive 57 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.4362404293814007 --crossoverRepairStrategy round --blxAlphaCrossoverAlpha 0.6511082580870479 --mutation powerLaw --mutationProbabilityFactor 0.9084085058727822 --mutationRepairStrategy bounds --powerLawMutationDelta 6.549909143696652 --selection stochasticUniversalSampling 

# Evaluation: 800
EP=0.15116386703919465 HVMinus=-0.8509114857161597 | --algorithmResult externalArchive --populationSizeWithArchive 88 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6066642628227196 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8585190170396708 --mutation powerLaw --mutationProbabilityFactor 0.8848472580392241 --mutationRepairStrategy bounds --powerLawMutationDelta 2.3939916342599354 --selection ranking 
EP=0.15055490313536718 HVMinus=-0.8504983141569694 | --algorithmResult externalArchive --populationSizeWithArchive 56 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.42198633299231875 --crossoverRepairStrategy round --pcxCrossoverZeta 0.6116442555102622 --pcxCrossoverEta 0.959844349968763 --mutation powerLaw --mutationProbabilityFactor 0.9297975196072275 --mutationRepairStrategy round --powerLawMutationDelta 7.756873242731054 --selection stochasticUniversalSampling 
EP=0.1509387869385152 HVMinus=-0.8506933616297193 | --algorithmResult externalArchive --populationSizeWithArchive 59 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.6197736968418179 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8585190170396708 --mutation powerLaw --mutationProbabilityFactor 0.8848472580392241 --mutationRepairStrategy bounds --powerLawMutationDelta 6.690360647204347 --selection ranking 
