# Evaluation: 0

# Evaluation: 1000
EP=0.015743737077546182 HVMinus=-0.8513946929451478 | --algorithmResult externalArchive --populationSizeWithArchive 48 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8911046649841008 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35655640588153426 --mutation levyFlight --mutationProbabilityFactor 0.407287613354412 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 
EP=0.016067822088621543 HVMinus=-0.8515073906713672 | --algorithmResult externalArchive --populationSizeWithArchive 47 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8302544989898778 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35656028516170435 --mutation levyFlight --mutationProbabilityFactor 0.39620184280171244 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.4868049603571223 --levyFlightMutationStepSize 0.38229970022234344 --selection ranking 
EP=0.016032520215011888 HVMinus=-0.8514456928702334 | --algorithmResult externalArchive --populationSizeWithArchive 81 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8774572493661766 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.3669802868865857 --mutation levyFlight --mutationProbabilityFactor 0.8886380829230138 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.4891440946927115 --levyFlightMutationStepSize 0.7903841585668475 --selection ranking 
EP=0.015935410589530817 HVMinus=-0.8514192373338354 | --algorithmResult externalArchive --populationSizeWithArchive 57 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8883086481907293 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.3623214398823935 --mutation levyFlight --mutationProbabilityFactor 0.8667741249338803 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.7863125929714094 --levyFlightMutationStepSize 0.8028691139379391 --selection ranking 
EP=0.016657196470752603 HVMinus=-0.8515194325360272 | --algorithmResult externalArchive --populationSizeWithArchive 74 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8866705827753875 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.361469915442058 --mutation levyFlight --mutationProbabilityFactor 0.8764872867594349 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.7451776727415436 --levyFlightMutationStepSize 0.7988059244144748 --selection ranking 
EP=0.016162274479281657 HVMinus=-0.8515157779303214 | --algorithmResult externalArchive --populationSizeWithArchive 56 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8774598518725143 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.3553427500602109 --mutation levyFlight --mutationProbabilityFactor 0.4004702415796294 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 

# Evaluation: 1100
EP=0.015743737077546182 HVMinus=-0.8513946929451478 | --algorithmResult externalArchive --populationSizeWithArchive 48 --archiveType unboundedArchive --createInitialSolutions oppositionBased --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.8911046649841008 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.35655640588153426 --mutation levyFlight --mutationProbabilityFactor 0.407287613354412 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.48834848998998 --levyFlightMutationStepSize 0.7988749157460817 --selection ranking 
