# Evaluation: 0

EP=0.15567259535733372 HVMinus=-0.8483728124238246 | --algorithmResult externalArchive --populationSizeWithArchive 20 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275880760163828 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7506566662291037 --mutation levyFlight --mutationProbabilityFactor 0.8036212049837949 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5579201840387022 --levyFlightMutationStepSize 0.8813759475269369 --selection stochasticUniversalSampling 
EP=0.1513312920232545 HVMinus=-0.8473910167410778 | --algorithmResult externalArchive --populationSizeWithArchive 37 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7255215492164799 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7405315503488853 --mutation linkedPolynomial --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --linkedPolynomialMutationDistributionIndex 256.8446311831152 --selection stochasticUniversalSampling 
EP=0.1519974627970442 HVMinus=-0.8480893969709596 | --algorithmResult externalArchive --populationSizeWithArchive 42 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7279517207824842 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7587482139268112 --blxAlphaBetaCrossoverAlpha 0.9222095001053777 --mutation levyFlight --mutationProbabilityFactor 0.06908089262814499 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5483817131414797 --levyFlightMutationStepSize 0.7210583295977483 --selection stochasticUniversalSampling 

# Evaluation: 900
EP=0.15147134592331243 HVMinus=-0.847446773521227 | --algorithmResult externalArchive --populationSizeWithArchive 40 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275732812017894 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7369862751465224 --mutation levyFlight --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5521197951276289 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
EP=0.15114439713108083 HVMinus=-0.8439581931889943 | --algorithmResult externalArchive --populationSizeWithArchive 85 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6250165961210675 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.5861737809665003 --blxAlphaBetaCrossoverAlpha 0.922209684919857 --mutation linkedPolynomial --mutationProbabilityFactor 0.7764764594292459 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 179.48997284025864 --selection stochasticUniversalSampling 
EP=0.15129887112932064 HVMinus=-0.845762743431324 | --algorithmResult externalArchive --populationSizeWithArchive 85 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7291033652074423 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.5599376017043158 --blxAlphaBetaCrossoverAlpha 0.9004077788937398 --mutation levyFlight --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5561216246624694 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
EP=0.1513312920232545 HVMinus=-0.8473910167410778 | --algorithmResult externalArchive --populationSizeWithArchive 37 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7255215492164799 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7405315503488853 --mutation linkedPolynomial --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy bounds --linkedPolynomialMutationDistributionIndex 256.8446311831152 --selection stochasticUniversalSampling 
EP=0.1521910485610404 HVMinus=-0.848353935885384 | --algorithmResult externalArchive --populationSizeWithArchive 22 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275880760163828 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7369540371417304 --mutation levyFlight --mutationProbabilityFactor 0.07744850009563786 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5522365216631226 --levyFlightMutationStepSize 0.7067420276204307 --selection stochasticUniversalSampling 
EP=0.15564562439268123 HVMinus=-0.8486128557099094 | --algorithmResult externalArchive --populationSizeWithArchive 20 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275920387317655 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7399827157937231 --mutation levyFlight --mutationProbabilityFactor 0.80763109796634 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5579348825670962 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
EP=0.15497748834252306 HVMinus=-0.848476283516276 | --algorithmResult externalArchive --populationSizeWithArchive 20 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275880760163828 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.745746575501635 --mutation levyFlight --mutationProbabilityFactor 0.8036212049837949 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5579201840387022 --levyFlightMutationStepSize 0.8755014658476131 --selection stochasticUniversalSampling 
EP=0.151921557114948 HVMinus=-0.8481262552282386 | --algorithmResult externalArchive --populationSizeWithArchive 22 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7229026785992702 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7369540371417304 --mutation levyFlight --mutationProbabilityFactor 0.07744850009563786 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5522365216631226 --levyFlightMutationStepSize 0.7067420276204307 --selection stochasticUniversalSampling 
EP=0.15147914720920014 HVMinus=-0.8477013196813848 | --algorithmResult externalArchive --populationSizeWithArchive 43 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.7275880760163828 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.5858602174591623 --blxAlphaBetaCrossoverAlpha 0.9204250499125797 --mutation linkedPolynomial --mutationProbabilityFactor 0.011974699027648583 --mutationRepairStrategy round --linkedPolynomialMutationDistributionIndex 254.08745741783517 --selection stochasticUniversalSampling 

# Evaluation: 1000
EP=0.15564562439268123 HVMinus=-0.8486128557099094 | --algorithmResult externalArchive --populationSizeWithArchive 20 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7275920387317655 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7399827157937231 --mutation levyFlight --mutationProbabilityFactor 0.80763109796634 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.5579348825670962 --levyFlightMutationStepSize 0.8813481626886375 --selection stochasticUniversalSampling 
