# Evaluation: 0

EP=0.1518898960718713 HVMinus=-0.847087481674383 | --algorithmResult externalArchive --populationSizeWithArchive 64 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 20 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.8954178519795035 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.9388419503305094 --blxAlphaBetaCrossoverAlpha 0.9105296859593727 --mutation levyFlight --mutationProbabilityFactor 0.5967463706198057 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.1518676519016595 --levyFlightMutationStepSize 0.6539220479418966 --selection stochasticUniversalSampling 
EP=0.15298928078843327 HVMinus=-0.84877171386563 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8786424691133206 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8716584984197469 --mutation levyFlight --mutationProbabilityFactor 0.5920998105268764 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6223469993474773 --levyFlightMutationStepSize 0.25427572986121966 --selection boltzmann --boltzmannTemperature 8.154522561633119 

# Evaluation: 900
EP=0.15593673311828132 HVMinus=-0.8490021477328573 | --algorithmResult externalArchive --populationSizeWithArchive 60 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8825289693341658 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9633161475620666 --mutation levyFlight --mutationProbabilityFactor 0.3670401977071138 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.1426238157452107 --levyFlightMutationStepSize 0.29239793512550327 --selection boltzmann --boltzmannTemperature 10.73890108766344 
EP=0.15227690914233166 HVMinus=-0.8489070551532641 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8780785890364022 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9058475405051507 --mutation levyFlight --mutationProbabilityFactor 0.7723673260229325 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.61941648054674 --levyFlightMutationStepSize 0.24638289288185253 --selection boltzmann --boltzmannTemperature 9.471523616599653 
EP=0.15090277767445226 HVMinus=-0.8484643804056364 | --algorithmResult externalArchive --populationSizeWithArchive 64 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8943684335163976 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9073487552687626 --mutation levyFlight --mutationProbabilityFactor 0.5967463706198057 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.1530753294308922 --levyFlightMutationStepSize 0.6479896587216762 --selection stochasticUniversalSampling 

# Evaluation: 1000
EP=0.15593673311828132 HVMinus=-0.8490021477328573 | --algorithmResult externalArchive --populationSizeWithArchive 60 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8825289693341658 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9633161475620666 --mutation levyFlight --mutationProbabilityFactor 0.3670401977071138 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.1426238157452107 --levyFlightMutationStepSize 0.29239793512550327 --selection boltzmann --boltzmannTemperature 10.73890108766344 
EP=0.15090277767445226 HVMinus=-0.8484643804056364 | --algorithmResult externalArchive --populationSizeWithArchive 64 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8943684335163976 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9073487552687626 --mutation levyFlight --mutationProbabilityFactor 0.5967463706198057 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.1530753294308922 --levyFlightMutationStepSize 0.6479896587216762 --selection stochasticUniversalSampling 
EP=0.15094312600876178 HVMinus=-0.8486850474508966 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8787365845153555 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9633161475620666 --mutation levyFlight --mutationProbabilityFactor 0.7713990065822595 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6446266808851615 --levyFlightMutationStepSize 0.24749056667370972 --selection boltzmann --boltzmannTemperature 10.656155042649605 
EP=0.1517448327572039 HVMinus=-0.8489967396225643 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.878537370615775 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9634824422180954 --mutation levyFlight --mutationProbabilityFactor 0.3609743811852132 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.1426953556725223 --levyFlightMutationStepSize 0.2926339392735994 --selection boltzmann --boltzmannTemperature 10.73890108766344 

# Evaluation: 1100
EP=0.15090277767445226 HVMinus=-0.8484643804056364 | --algorithmResult externalArchive --populationSizeWithArchive 64 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8943684335163976 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9073487552687626 --mutation levyFlight --mutationProbabilityFactor 0.5967463706198057 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.1530753294308922 --levyFlightMutationStepSize 0.6479896587216762 --selection stochasticUniversalSampling 
EP=0.15094312600876178 HVMinus=-0.8486850474508966 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8787365845153555 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9633161475620666 --mutation levyFlight --mutationProbabilityFactor 0.7713990065822595 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.6446266808851615 --levyFlightMutationStepSize 0.24749056667370972 --selection boltzmann --boltzmannTemperature 10.656155042649605 
EP=0.1548776110154136 HVMinus=-0.8493318223245578 | --algorithmResult externalArchive --populationSizeWithArchive 59 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8825289693341658 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9678608122753242 --mutation levyFlight --mutationProbabilityFactor 0.367911729055203 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.1426238157452107 --levyFlightMutationStepSize 0.29902511174512353 --selection boltzmann --boltzmannTemperature 10.72391037510148 
EP=0.15220233105380937 HVMinus=-0.8491483418013316 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.8825363526978257 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.9634838625923234 --mutation levyFlight --mutationProbabilityFactor 0.3609860345887171 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.142698184763557 --levyFlightMutationStepSize 0.2926339392735994 --selection boltzmann --boltzmannTemperature 10.73890108766344 
